Year,Production
1950-51,57.05
1951-52,61.63
1952-53,51.00
1953-54,44.41
1954-55,58.74
1955-56,60.54
1956-57,69.05
1957-58,71.16
1958-59,73.36
1959-60,77.82
1960-61,110.00
1961-62,103.97
1962-63,91.91
1963-64,104.23
1964-65,121.91
1965-66,123.99
1966-67,92.83
1967-68,95.50
1968-69,124.68
1969-70,135.02
1970-71,126.37
1971-72,113.57
1972-73,124.87
1973-74,140.81
1974-75,144.29
1975-76,140.60
1976-77,153.01
1977-78,176.97
1978-79,151.66
1979-80,128.83
1980-81,154.25
1981-82,186.36
1982-83,189.51
1983-84,174.08
1984-85,170.32
1985-86,170.65
1986-87,186.09
1987-88,196.74
1988-89,203.04
1989-90,225.57
1990-91,241.05
1991-92,254.00
1992-93,228.04
1993-94,229.66
1994-95,275.54
1995-96,281.10
1996-97,277.56
1997-98,279.55
1998-99,288.73
1999-00,299.33
2000-01,295.96
2001-02,298.43
2002-03,281.58
2003-04,233.87
2004-05,237.09
2005-06,281.18
2006-07,355.52
2007-08,348.19
2008-09,285.03
2009-10,292.31
2010-11,339.17
2011-12,342.20
