"Lag","Published_ACF","Reproduced_ACF","Abs_Difference","Within_0_003","Within_0_02"
1,0.202,0.164688,0.037312,FALSE,FALSE
2,-0.62,-0.633905,0.013905,FALSE,TRUE
3,-0.4,-0.337777,0.062223,FALSE,FALSE
4,0.213,0.230413,0.017413,FALSE,TRUE
5,0.336,0.275525,0.060475,FALSE,FALSE
6,-0.05,-0.091727,0.041727,FALSE,FALSE
7,-0.11,-0.10929,0.00071,TRUE,TRUE
8,0.017,0.068883,0.051883,FALSE,FALSE
9,-0.02,0.004944,0.024944,FALSE,FALSE
10,-0.1,-0.101709,0.001709,TRUE,TRUE
11,-0.07,-0.060471,0.009529,FALSE,TRUE
12,0.132,0.130168,0.001832,TRUE,TRUE
13,0.091,0.089565,0.001435,TRUE,TRUE
14,-0.15,-0.147292,0.002708,TRUE,TRUE
15,-0.14,-0.130493,0.009507,FALSE,TRUE
16,0.087,0.089279,0.002279,TRUE,TRUE
17,0.176,0.139955,0.036045,FALSE,FALSE
18,-0.01,-0.007526,0.002474,TRUE,TRUE
19,-0.09,-0.057801,0.032199,FALSE,FALSE
20,0.021,0.014318,0.006682,FALSE,TRUE
